right_hip_roll,right_hip_pitch,right_knee,left_hip_roll,left_hip_pitch,left_knee,torso,left_hip_yaw,right_hip_yaw,left_ankle,right_ankle,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow
0.222119,-0.136934,0.472629,-0.213241,-0.106133,0.527730,0.004613,-0.003976,0.101587,-0.858231,-0.850393,0.017581,0.001210,1.170929,1.392656,0.026040,0.032522,-1.184850,1.434125
0.221841,-0.139215,0.473576,-0.212848,-0.108769,0.529084,0.004558,-0.003972,0.101383,-0.857821,-0.850032,0.018433,0.001188,1.162680,1.381480,0.028202,0.034611,-1.175678,1.427425
0.221364,-0.141394,0.474366,-0.212455,-0.111127,0.530003,0.004554,-0.003992,0.101229,-0.857432,-0.849559,0.019425,0.001207,1.154446,1.369913,0.030351,0.037578,-1.166844,1.418918
0.221111,-0.143100,0.475110,-0.212013,-0.112889,0.530813,0.004598,-0.003964,0.101025,-0.857063,-0.849168,0.020396,0.001216,1.144734,1.358426,0.031970,0.040620,-1.158231,1.409810
0.220685,-0.145469,0.475823,-0.211646,-0.114993,0.531684,0.004594,-0.003959,0.100723,-0.856673,-0.848786,0.021203,0.001215,1.133927,1.346872,0.033059,0.043747,-1.148903,1.400660
0.220358,-0.147736,0.476473,-0.211279,-0.117637,0.532586,0.004614,-0.003931,0.100495,-0.856223,-0.848415,0.022233,0.001214,1.124164,1.334580,0.034521,0.046756,-1.138071,1.390970
0.220006,-0.149531,0.477093,-0.210912,-0.119808,0.533517,0.004633,-0.003927,0.100243,-0.855793,-0.847983,0.023220,0.001202,1.114593,1.322252,0.036345,0.049719,-1.126997,1.381298
0.219655,-0.151716,0.477743,-0.210521,-0.122196,0.534585,0.004629,-0.003923,0.100016,-0.855404,-0.847592,0.024388,0.001201,1.104368,1.309713,0.038347,0.052584,-1.116906,1.371789
0.219304,-0.154636,0.478516,-0.210130,-0.125220,0.536129,0.004599,-0.003943,0.099888,-0.854985,-0.847201,0.025726,0.001210,1.095911,1.298945,0.040335,0.055463,-1.106688,1.361772
0.218953,-0.156690,0.479549,-0.209813,-0.127993,0.537441,0.004619,-0.003914,0.099784,-0.854555,-0.846790,0.027233,0.001209,1.084675,1.285781,0.041717,0.058478,-1.098583,1.351220
0.218553,-0.159305,0.480521,-0.209399,-0.130540,0.538490,0.004614,-0.003935,0.099656,-0.854106,-0.846308,0.028859,0.001217,1.073780,1.272904,0.042834,0.061496,-1.087877,1.340542
0.218227,-0.162210,0.481598,-0.208984,-0.134039,0.539721,0.004683,-0.003882,0.099552,-0.853687,-0.845696,0.030582,0.001196,1.064444,1.259644,0.044060,0.064507,-1.076436,1.329912
0.217853,-0.164766,0.482935,-0.208644,-0.136576,0.541196,0.004703,-0.003853,0.099399,-0.853258,-0.844813,0.032373,0.001195,1.054082,1.246409,0.045325,0.067492,-1.066119,1.318634
0.217479,-0.167514,0.484101,-0.208230,-0.139671,0.543082,0.004698,-0.003874,0.099197,-0.852778,-0.843591,0.034321,0.001204,1.042637,1.232504,0.046748,0.069919,-1.056169,1.308941
0.217178,-0.170061,0.485557,-0.207866,-0.141978,0.544629,0.004644,-0.003796,0.099045,-0.852250,-0.842160,0.036357,0.001192,1.031301,1.218190,0.048360,0.072792,-1.045426,1.295619
0.216829,-0.172604,0.487850,-0.207502,-0.144599,0.546311,0.004590,-0.003695,0.098819,-0.851691,-0.840591,0.038188,0.001191,1.019292,1.204251,0.049689,0.075118,-1.034415,1.282062
0.216602,-0.175532,0.490459,-0.207066,-0.148410,0.549133,0.004537,-0.003837,0.098618,-0.851063,-0.838914,0.040457,0.001200,1.010253,1.188981,0.051255,0.077549,-1.024464,1.272198
0.216375,-0.178089,0.491968,-0.206775,-0.150265,0.550839,0.004507,-0.003809,0.098515,-0.850525,-0.837910,0.042761,0.001199,1.000335,1.178848,0.052839,0.079375,-1.014012,1.264055
0.216050,-0.181129,0.495422,-0.206558,-0.153699,0.554277,0.004600,-0.003805,0.098460,-0.849828,-0.836677,0.044553,0.001197,0.984643,1.160201,0.053932,0.083313,-1.000871,1.248086
0.215799,-0.184479,0.497608,-0.206196,-0.157029,0.556310,0.004449,-0.003776,0.098308,-0.849410,-0.835905,0.046711,0.001196,0.975316,1.149221,0.055492,0.085797,-0.991469,1.234279
0.215499,-0.187434,0.500125,-0.205954,-0.159502,0.558553,0.004493,-0.003675,0.098229,-0.849043,-0.835173,0.049073,0.001185,0.963303,1.134206,0.057029,0.087937,-0.978663,1.220123
0.215176,-0.189995,0.502441,-0.205641,-0.162530,0.560883,0.004464,-0.003599,0.098053,-0.848646,-0.834781,0.051621,0.001174,0.952376,1.119306,0.058454,0.089128,-0.967231,1.207633
0.214949,-0.193327,0.505828,-0.205351,-0.164897,0.563633,0.004411,-0.003595,0.097877,-0.848249,-0.834398,0.054154,0.001172,0.940121,1.104522,0.060185,0.089948,-0.955907,1.191693
0.214674,-0.195975,0.508649,-0.205110,-0.167575,0.566333,0.004431,-0.003591,0.097749,-0.847842,-0.834046,0.056286,0.001181,0.926742,1.089565,0.061725,0.090081,-0.944261,1.176988
0.214399,-0.199295,0.511708,-0.204773,-0.171288,0.569708,0.004450,-0.003757,0.097622,-0.847464,-0.833623,0.058949,0.001180,0.917114,1.076642,0.063093,0.090581,-0.930432,1.163515
0.214148,-0.202391,0.514685,-0.204556,-0.174027,0.571794,0.004325,-0.003632,0.097591,-0.847038,-0.833201,0.061835,0.001179,0.904642,1.061112,0.064133,0.090881,-0.919950,1.147665
0.213800,-0.204974,0.516933,-0.204268,-0.177220,0.575022,0.004344,-0.003580,0.097464,-0.846532,-0.832760,0.064735,0.001187,0.892281,1.046785,0.065675,0.090706,-0.908401,1.134360
0.213598,-0.208349,0.520233,-0.203931,-0.180262,0.578290,0.004340,-0.003576,0.097264,-0.845977,-0.832348,0.067700,0.001186,0.879401,1.031057,0.067176,0.090373,-0.896703,1.117683
