joint,joint_label,baseline_pd_torque_rmse_nm,sysid_gru_torque_rmse_nm,reduction_percent,num_validation_motions
right_shoulder_pitch,Shoulder Pitch,1.4382558336671079,0.9182963173956212,36.1520881125683,10
right_shoulder_roll,Shoulder Roll,1.467871435562231,0.5712576119935077,61.08258542583452,10
right_shoulder_yaw,Shoulder Yaw,1.1835007132816564,0.7421558841803352,37.29147132303311,10
right_elbow,Elbow,0.5494090268431226,0.48041116871439504,12.558559244136545,10
